Keywords,affordability,education,financing,prevention,quality,Category
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
healthcare system free problem disease receive country america provider find,5.0,0,0,14.0,6.0,prevention
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
doctor patient cost drug medicine person medication nurse technology reduce,5.0,7.0,10.0,18.0,0,prevention
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
health care provide education high family student income job low,9.0,16.0,22.0,9.0,9.0,financing
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
people time work thing good agree live life place benefit,12.999999999999998,0,0,1.0,16.0,quality
school healthy make food child class educate cheap start kid,6.0,15.0,0,2.0,0,education
insurance pay make government medical company afford program give tax,10.0,0,31.999999999999996,2.0,17.0,financing
money hospital people service emergency_room emergency wait put visit day,10.0,0,10.0,0,8.0,affordability
